imdb_id,title,year,rated,released,runtime,genre,director,writer,actors,language,country,imdb_rating,type
tt1266020,Parks and Recreation,2009–2015,TV-14,09 Apr 2009,22 min,Comedy,,"Greg Daniels, Michael Schur","Amy Poehler, Jim O'Heir, Nick Offerman",English,United States,8.6,series
tt1327801,Glee,2009–2015,TV-PG,19 May 2009,44 min,"Comedy, Drama, Music",,"Ian Brennan, Brad Falchuk, Ryan Murphy","Lea Michele, Jane Lynch, Matthew Morrison",English,United States,6.7,series
tt0182576,Family Guy,1999–,TV-14,31 Jan 1999,22 min,"Animation, Comedy",,"Seth MacFarlane, David Zuckerman","Seth MacFarlane, Alex Borstein, Seth Green","English, Portuguese",United States,8.1,series
tt0452046,Criminal Minds,2005–2020,TV-14,22 Sep 2005,42 min,"Crime, Drama, Mystery",,Jeff Davis,"Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook",English,"United States, Canada",8.0,series
tt0108778,Friends,1994–2004,TV-PG,22 Sep 1994,22 min,"Comedy, Romance",,"David Crane, Marta Kauffman","Jennifer Aniston, Courteney Cox, Lisa Kudrow","English, Spanish, Italian, French, Dutch, Hebrew",United States,8.9,series
tt1179817,The Secret Life of the American Teenager,2008–2013,TV-14,03 Sep 2008,43 min,"Comedy, Drama, Family",,Brenda Hampton,"Shailene Woodley, Molly Ringwald, India Eisley",English,United States,5.0,series
tt0368530,One Tree Hill,2003–2012,TV-14,23 Sep 2003,60 min,"Drama, Romance, Sport",,Mark Schwahn,"Chad Michael Murray, James Lafferty, Hilarie Burton",English,United States,7.7,series
tt1826940,New Girl,2011–2018,TV-14,20 Sep 2011,22 min,Comedy,,Elizabeth Meriwether,"Zooey Deschanel, Jake Johnson, Max Greenfield",English,United States,7.7,series
tt1844624,American Horror Story,2011–,TV-MA,05 Oct 2011,60 min,"Drama, Horror, Thriller",,"Brad Falchuk, Ryan Murphy","Lady Gaga, Kathy Bates, Angela Bassett",English,United States,8.0,series
tt2372162,Orange Is the New Black,2013–2019,TV-MA,11 Jul 2013,59 min,"Comedy, Crime, Drama",,Jenji Kohan,"Taylor Schilling, Danielle Brooks, Taryn Manning",English,United States,8.0,series
tt2188671,Bates Motel,2013–2017,TV-MA,18 Mar 2013,45 min,"Drama, Horror, Mystery",,"Anthony Cipriano, Carlton Cuse, Kerry Ehrin","Vera Farmiga, Freddie Highmore, Max Thieriot",English,United States,8.1,series
tt3609352,Grace and Frankie,2015–2021,TV-MA,08 May 2015,30 min,Comedy,,"Marta Kauffman, Howard J. Morris","Jane Fonda, Lily Tomlin, Sam Waterston",English,United States,8.3,series
tt3205802,How to Get Away with Murder,2014–2020,TV-14,25 Sep 2014,43 min,"Crime, Drama, Mystery",,Peter Nowalk,"Viola Davis, Billy Brown, Jack Falahee","English, Spanish",United States,8.1,series
tt4592410,The Get Down,2016–2017,TV-MA,12 Aug 2016,52 min,"Drama, Music, Musical",,"Stephen Adly Guirgis, Baz Luhrmann","Justice Smith, Shameik Moore, Herizen F. Guardiola",English,United States,8.3,series
tt3774694,Love,2015,TV-MA,30 Oct 2015,135 min,"Drama, Romance",Gaspar Noé,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin","English, French","France, Belgium",6.1,movie
tt4635282,The OA,2016–2019,TV-MA,16 Dec 2016,60 min,"Drama, Fantasy, Mystery",,"Zal Batmanglij, Brit Marling","Brit Marling, Jason Isaacs, Scott Wilson",English,United States,7.8,series
tt4574334,Stranger Things,2016–,TV-14,15 Jul 2016,51 min,"Drama, Fantasy, Horror",,"Matt Duffer, Ross Duffer","Millie Bobby Brown, Finn Wolfhard, Winona Ryder","English, Russian",United States,8.7,series
tt6495756,Ingobernable,2017–,TV-MA,24 Mar 2017,40 min,"Crime, Drama, Mystery",,,"Kate del Castillo, Leah Allers, Eréndira Ibarra",Spanish,Mexico,7.2,series
tt2948356,Zootopia,2016,PG,04 Mar 2016,108 min,"Animation, Adventure, Comedy","Byron Howard, Rich Moore, Jared Bush","Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba",English,United States,8.0,movie
tt4191580,Meet the Blacks,2016,R,01 Apr 2016,94 min,"Comedy, Horror",Deon Taylor,"Deon Taylor, Nicole DeMasi","Mike Epps, Zulay Henao, Alex Henderson",English,United States,4.8,movie
tt2277860,Finding Dory,2016,PG,17 Jun 2016,97 min,"Animation, Adventure, Comedy","Andrew Stanton, Angus MacLane","Andrew Stanton, Victoria Strouse","Ellen DeGeneres, Albert Brooks, Ed O'Neill","English, Indonesian",United States,7.3,movie
tt1700841,Sausage Party,2016,R,12 Aug 2016,89 min,"Animation, Adventure, Comedy","Greg Tiernan, Conrad Vernon","Kyle Hunter, Ariel Shaffir, Seth Rogen","Seth Rogen, Kristen Wiig, Jonah Hill",English,"United States, Canada",6.1,movie
tt2788732,Pete's Dragon,2016,PG,12 Aug 2016,102 min,"Action, Adventure, Comedy",David Lowery,"David Lowery, Toby Halbrooks, Malcolm Marmorstein","Bryce Dallas Howard, Robert Redford, Oakes Fegley",English,"United States, New Zealand",6.7,movie
tt4669186,Kevin Hart: What Now?,2016,R,14 Oct 2016,96 min,"Documentary, Comedy","Leslie Small, Tim Story","Kevin Hart, Joey Wells, Harry Ratchford","Kevin Hart, Don Cheadle, Halle Berry",English,United States,5.9,movie
tt5155780,The Discovery,2017,TV-MA,31 Mar 2017,102 min,"Drama, Romance, Sci-Fi",Charlie McDowell,"Charlie McDowell, Justin Lader","Robert Redford, Mary Steenburgen, Brian McCarthy",English,United States,6.3,movie
tt5097050,Chewing Gum,2015–2017,TV-MA,31 Oct 2016,23 min,Comedy,,,"Michaela Coel, Danielle Walters, Robert Lonsdale",English,United Kingdom,7.7,series
tt5993744,Cheer Squad,2016–,,06 Jul 2016,60 min,Reality-TV,,,Ali Moffatt,English,United States,7.4,series
tt5505722,Only for One Night,2016,TV-14,01 Oct 2016,86 min,Thriller,Chris Stokes,,"Brian White, Karrueche Tran, Angelique Pereira",English,United States,4.5,movie
tt0362270,The Life Aquatic with Steve Zissou,2004,R,25 Dec 2004,119 min,"Action, Adventure, Comedy",Wes Anderson,"Wes Anderson, Noah Baumbach","Bill Murray, Owen Wilson, Anjelica Huston","English, Icelandic, Filipino, Portuguese, French, Tagalog, German, Italian",United States,7.3,movie
tt0330251,The L Word,2004–2009,TV-MA,18 Jan 2004,50 min,"Drama, Romance",,"Michele Abbott, Ilene Chaiken, Kathy Greenberg","Jennifer Beals, Leisha Hailey, Laurel Holloman",English,"Canada, United States",7.6,series
tt0496424,30 Rock,2006–2013,TV-14,11 Oct 2006,22 min,Comedy,,Tina Fey,"Tina Fey, Alec Baldwin, Tracy Morgan",English,United States,8.2,series
tt0804503,Mad Men,2007–2015,TV-14,19 Jul 2007,47 min,Drama,,Matthew Weiner,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser",English,United States,8.6,series
tt0472954,It's Always Sunny in Philadelphia,2005–,TV-MA,04 Aug 2005,22 min,Comedy,,"Glenn Howerton, Rob McElhenney","Charlie Day, Glenn Howerton, Rob McElhenney",English,United States,8.8,series
tt0904208,Californication,2007–2014,TV-MA,13 Aug 2007,28 min,"Comedy, Drama",,Tom Kapinos,"David Duchovny, Natascha McElhone, Evan Handler",English,United States,8.3,series
tt1780441,Portlandia,2011–2018,TV-14,11 Jan 2011,22 min,Comedy,,"Fred Armisen, Carrie Brownstein, Jonathan Krisel","Fred Armisen, Carrie Brownstein, Kyle MacLachlan",English,United States,7.8,series
tt1819509,Don't Trust the B---- in Apartment 23,2012–2013,TV-14,11 Apr 2012,22 min,Comedy,,Nahnatchka Khan,"Krysten Ritter, Dreama Walker, Michael Blaiklock",English,United States,7.3,series
tt1632708,Friends with Benefits,2011,R,22 Jul 2011,109 min,"Comedy, Romance",Will Gluck,"Keith Merryman, David A. Newman, Will Gluck","Mila Kunis, Justin Timberlake, Patricia Clarkson",English,United States,6.5,movie
tt2022170,The Client List,2011–2013,TV-14,08 Apr 2012,42 min,"Crime, Drama",,"Jordan Budde, Suzanne Martin","Jennifer Love Hewitt, Loretta Devine, Colin Egglesfield",English,United States,6.6,series
tt2543312,Halt and Catch Fire,2014–2017,TV-14,01 Jun 2014,60 min,Drama,,"Christopher Cantwell, Christopher C. Rogers","Lee Pace, Scoot McNairy, Mackenzie Davis",English,United States,8.4,series
tt2486678,5 to 7,2014,R,12 Feb 2015,95 min,"Comedy, Drama, Romance",Victor Levin,Victor Levin,"Anton Yelchin, Bérénice Marlohe, Olivia Thirlby","English, French",United States,7.1,movie
tt4295140,Chef's Table,2015–2019,TV-MA,26 Apr 2015,50 min,Documentary,,,"Dan Barber, Massimo Bottura, Bill Buford",English,United States,8.5,series
tt4677934,Documentary Now!,2015–,TV-14,20 Aug 2015,23 min,Comedy,,"Fred Armisen, Bill Hader, Seth Meyers","Helen Mirren, Fred Armisen, Bill Hader",English,United States,8.1,series
tt3032476,Better Call Saul,2015–,TV-MA,08 Feb 2015,46 min,"Crime, Drama",,"Vince Gilligan, Peter Gould","Bob Odenkirk, Rhea Seehorn, Jonathan Banks","English, Spanish, Vietnamese",United States,8.8,series
tt3526078,Schitt's Creek,2015–2020,TV-14,11 Feb 2015,22 min,Comedy,,"Dan Levy, Eugene Levy","Eugene Levy, Catherine O'Hara, Dan Levy",English,"Canada, United States",8.5,series
tt4051832,Lovesick,2014–2018,TV-MA,15 Apr 2015,24 min,Comedy,,Tom Edge,"Johnny Flynn, Antonia Thomas, Daniel Ings",English,United Kingdom,8.1,series
tt4973548,Flaked,2016–,TV-MA,11 Mar 2016,30 min,"Comedy, Drama, Romance",,"Will Arnett, Mark Chappell","Will Arnett, David Sullivan, Ruth Kearney",English,United States,7.2,series
tt4635276,Master of None,2015–,TV-MA,06 Nov 2015,30 min,"Comedy, Drama",,"Aziz Ansari, Alan Yang","Aziz Ansari, Eric Wareheim, Lena Waithe",English,United States,8.3,series
tt5672036,Chelsea,2016–2017,TV-MA,11 May 2016,30 min,"Comedy, Talk-Show",,,"Chelsea Handler, Jeff Wild, Daniel Maurio",English,United States,6.0,series
tt6333098,Abstract: The Art of Design,2017–,TV-14,21 Jan 2017,45 min,Documentary,,,"Platon, Cas Holman, Ian Spalter",English,United States,8.4,series
tt4452688,Cooper Barrett's Guide to Surviving Life,2016,TV-14,03 Jan 2016,30 min,Comedy,,Jay Lacopo,"Jack Cutmore-Scott, Meaghan Rath, James Earl",English,United States,6.3,series
tt4384086,Life in Pieces,2015–2019,TV-14,21 Sep 2015,22 min,Comedy,,Justin Adler,"Colin Hanks, Betsy Brandt, Thomas Sadoski",English,United States,8.0,series
tt4094300,Crazy Ex-Girlfriend,2015–2019,TV-14,12 Oct 2015,42 min,"Comedy, Musical",,"Rachel Bloom, Aline Brosh McKenna","Rachel Bloom, Donna Lynne Champlin, Vincent Rodriguez III",English,United States,7.8,series
tt5562056,Easy,2016–,TV-MA,22 Sep 2016,30 min,Comedy,,Joe Swanberg,"Michael Chernus, Jane Adams, Elizabeth Reaser",English,United States,6.9,series
tt5595688,No Tomorrow,2016–2017,TV-PG,04 Oct 2016,43 min,"Comedy, Drama, Romance",,"Corinne Brinkerhoff, Scott McCabe, Tory Stanton","Joshua Sasse, Tori Anderson, Jonathan Langdon",English,United States,7.3,series
tt3810760,Minimalism: A Documentary About the Important Things,2015,Not Rated,15 Dec 2016,78 min,Documentary,Matt D'Avella,,"Dan Harris, Ryan Nicodemus, Rick Hanson",English,United States,6.7,movie
tt6333104,Hot Girls Wanted: Turned On,2017,TV-MA,21 Apr 2017,280 min,Documentary,,,"James Rhine, Lena Anderson, James Bartholet",English,United States,6.6,series
tt3155328,Win It All,2017,TV-MA,07 Apr 2017,88 min,Comedy,Joe Swanberg,"Jake Johnson, Joe Swanberg","Jake Johnson, Rony Shemon, Morgan Ng",English,United States,6.2,movie
tt2195324,Giorni della Merla,2011,,06 Jun 2011,78 min,Drama,"Diego Brentano, Niklas Leifert","Diego Brentano, Niklas Leifert","Diego Brentano, Moss Kabaka, Niklas Leifert, Stephanie Müller-Hagen",German,Switzerland,,movie
tt6616074,Amy Schumer: The Leather Special,2017,TV-MA,06 Mar 2017,57 min,Comedy,Amy Schumer,Amy Schumer,"Amy Schumer, Kim Caramele",English,United States,2.9,movie
tt6736782,Louis C.K. 2017,2017,TV-MA,04 Apr 2017,74 min,Comedy,Louis C.K.,Louis C.K.,Louis C.K.,English,United States,7.6,movie
tt6963504,Dave Chappelle,2017,,,66 min,"Documentary, Comedy",,,Dave Chappelle,English,United States,8.7,series
tt4686862,Almost Adults,2016,TV-14,07 Feb 2017,90 min,"Comedy, Drama",Sarah Rotella,Adrianna DiLonardo,"Natasha Negovanlis, Elise Bauman, Justin Gerhard",English,Canada,5.7,movie
tt0250274,The Brothers,2001,R,23 Mar 2001,106 min,"Comedy, Drama",Gary Hardwick,Gary Hardwick,"Morris Chestnut, Shemar Moore, D.L. Hughley","English, French",United States,6.4,movie
tt0840196,Skins,2007–2013,TV-MA,17 Jan 2011,46 min,Drama,,"Jamie Brittain, Bryan Elsley","Kaya Scodelario, Nicholas Hoult, Joe Dempsie",English,United Kingdom,8.2,series
tt1195935,The Cleveland Show,2009–2013,TV-14,27 Sep 2009,22 min,"Animation, Adventure, Comedy",,"Richard Appel, Mike Henry, Seth MacFarlane","Mike Henry, Sanaa Lathan, Kevin Michael Richardson",English,United States,5.5,series
tt0105929,Absolutely Fabulous,1992–2012,TV-14,24 Jul 1994,45 min,Comedy,,,"Jennifer Saunders, Joanna Lumley, Julia Sawalha","English, French",United Kingdom,8.1,series
tt1615919,Raising Hope,2010–2014,TV-PG,01 Sep 2010,22 min,"Comedy, Family",,Gregory Thomas Garcia,"Lucas Neff, Martha Plimpton, Garret Dillahunt",English,United States,8.0,series
tt1749004,Come Fly with Me,2010–2011,TV-MA,24 Dec 2010,29 min,Comedy,,,"Matt Lucas, David Walliams, Lindsay Duncan",English,United Kingdom,7.5,series
tt2022713,Brickleberry,2012–2015,TV-MA,25 Sep 2012,22 min,"Animation, Comedy",,"Roger Black, Waco O'Guin","Daniel Tosh, Roger Black, David Herman",English,United States,7.3,series
tt3398228,BoJack Horseman,2014–2020,TV-MA,22 Aug 2014,25 min,"Animation, Comedy, Drama",,Raphael Bob-Waksberg,"Will Arnett, Amy Sedaris, Alison Brie",English,United States,8.7,series
tt3339966,Unbreakable Kimmy Schmidt,2015–2019,TV-14,06 Mar 2015,30 min,Comedy,,"Robert Carlock, Tina Fey","Ellie Kemper, Jane Krakowski, Tituss Burgess",English,United States,7.6,series
tt0445935,Bordertown,2007,R,16 May 2008,112 min,"Crime, Mystery, Thriller",Gregory Nava,Gregory Nava,"Jennifer Lopez, Antonio Banderas, Maya Zapata","English, Spanish, Central American Indian languages","United States, Mexico",6.1,movie
tt3566726,Jane the Virgin,2014–2019,TV-PG,13 Oct 2014,60 min,Comedy,,Jennie Snyder Urman,"Gina Rodriguez, Andrea Navedo, Yael Grobglas",English,United States,7.8,series
tt3850214,Dope,2015,R,19 Jun 2015,103 min,"Adventure, Comedy, Crime",Rick Famuyiwa,Rick Famuyiwa,"Shameik Moore, Tony Revolori, Kiersey Clemons","English, Spanish",United States,7.2,movie
tt4307902,The Carmichael Show,2015–2017,,26 Aug 2015,21 min,Comedy,,"Jerrod Carmichael, Willie Hunter, Ari Katcher","Jerrod Carmichael, Amber Stevens West, Lil Rel Howery",English,United States,7.7,series
tt3273434,November Rule,2015,,14 Feb 2015,94 min,"Comedy, Romance",Mike Elliott,"Candice Childress, Juwan Lee, Cecelia Ross","Mo McRae, Tatyana Ali, DJ Qualls",English,United States,5.4,movie
tt5467814,Haters Back Off!,2016–2017,TV-14,14 Oct 2016,30 min,"Comedy, Drama, Family",,"Christopher Ballinger, Colleen Ballinger, Gigi McCreery","Colleen Ballinger, Angela Kinsey, Francesca Reale",English,United States,6.0,series
tt4302938,Kubo and the Two Strings,2016,PG,19 Aug 2016,101 min,"Animation, Action, Adventure",Travis Knight,"Marc Haimes, Chris Butler, Shannon Tindle","Charlize Theron, Art Parkinson, Matthew McConaughey",English,"United States, Japan",7.8,movie
tt5347148,A Weekend with the Family,2016,TV-14,01 Apr 2016,82 min,Comedy,Chris Stokes,"Chaz Echols, Marques Houston, Chris Stokes","Marques Houston, Karrueche Tran, Wendy Raquel Robinson",English,United States,4.9,movie
tt6038584,Crazyhead,2016,,19 Oct 2016,60 min,"Comedy, Horror, Sci-Fi",,,"Cara Theobold, Susan Wokoma, Lewis Reeves",English,United Kingdom,7.3,series
tt4341582,Queen of Katwe,2016,PG,30 Sep 2016,124 min,"Biography, Drama, Sport",Mira Nair,"William Wheeler, Tim Crothers","Madina Nalwanga, David Oyelowo, Lupita Nyong'o",English,United States,7.4,movie
tt5030402,Little Boxes,2016,Not Rated,14 Apr 2017,84 min,"Comedy, Drama",Rob Meyer,Annie J. Howell,"Melanie Lynskey, Nelsan Ellis, Armani Jackson",English,United States,5.9,movie
tt4144332,Deidra & Laney Rob a Train,2017,TV-14,17 Mar 2017,92 min,"Comedy, Crime, Drama",Sydney Freeland,Shelby Farrell,"Ashleigh Murray, Rachel Crow, Lance Gray",English,United States,6.1,movie
tt4007248,Hurricane Bianca,2016,TV-MA,19 Sep 2016,84 min,"Comedy, Drama",Matt Kugelman,Matt Kugelman,"Roy Haylock, Lola Botha, Grayson Thorne Kilpatrick","English, Spanish",United States,5.9,movie
tt3159818,Honeytrap,2014,,23 Sep 2016,93 min,"Crime, Drama, Romance",Rebecca Johnson,Rebecca Johnson,"Jessica Sula, Lucien Laviscount, Ntonga Mwanza",English,United Kingdom,5.9,movie
tt4971144,Greenleaf,2016–2020,TV-14,21 Jun 2016,60 min,Drama,,Craig Wright,"Merle Dandridge, Kim Hawthorne, Desiree Ross",English,United States,7.4,series
tt4027504,Lazy Eye,2016,Not Rated,11 Nov 2016,87 min,"Comedy, Drama, Romance",Tim Kirkman,Tim Kirkman,"Drew Barr, Lucas Near-Verbrugghe, Michaela Watkins",English,United States,6.3,movie
tt5580516,Like Cotton Twines,2016,Not Rated,01 Jun 2016,96 min,Drama,Leila Djansi,Leila Djansi,"Irene Adotey, Adjetey Anang, Miranda Bailey, David Dontoh",English,"USA, Georgia, Ghana",7.7,movie
tt0065198,The Wedding Party,1969,Not Rated,09 Apr 1969,92 min,Comedy,"Brian De Palma, Wilford Leach, Cynthia Munroe","Cynthia Munroe, Brian De Palma, Wilford Leach","Valda Setterfield, Raymond McNally, John Braswell",English,United States,4.8,movie
