IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type
tt0160127,Charlie's Angels,2000,PG-13,03 Nov 2000,98 min,"Action, Adventure, Comedy",McG,"Ryan Rowe, Ed Solomon, John August","Cameron Diaz, Drew Barrymore, Lucy Liu","English, German, Finnish, Japanese, Cantonese","United States, Germany",5.6,68%,52/100,movie
tt0283994,Chosen,2001,Not Rated,10 May 2001,6 min,"Action, Short",Ang Lee,David Carter,"Clive Owen, Mason Lee, Sonom Gualson",English,United States,6.9,None,None,movie
tt3147692,Cleaners,2013–,N/A,03 Oct 2013,30 min,Action,N/A,N/A,"Emmanuelle Chriqui, Emily Osment, Missi Pyle",English,United States,6.4,None,None,series
tt0056937,Cleopatra,1963,G,31 Jul 1963,192 min,"Biography, Drama, History",Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Ranald MacDougall, Sidney Buchman","Elizabeth Taylor, Richard Burton, Rex Harrison",English,"Switzerland, United Kingdom, United States",7.0,62%,60/100,movie
tt2198439,Coast Guard Alaska,2011–,TV-G,09 Nov 2011,N/A,"Documentary, Adventure",N/A,N/A,N/A,English,United States,8.3,None,None,series
tt2301501,Coast Guard Florida,2012–,TV-G,10 Oct 2012,60 min,Documentary,N/A,N/A,Milton James Jones,English,United States,8.8,None,None,series
tt4831310,Coast Guard: Cape Disappointment - Pacific Northwest,2014–,N/A,N/A,N/A,Reality-TV,N/A,N/A,N/A,English,United States,8.9,None,None,series
tt7350428,Kevin Hart's Cold as Balls,2017–,TV-MA,08 Feb 2018,N/A,"Comedy, Talk-Show",N/A,"Michael D. Ratner, Sean Thomas Spencer","Kevin Hart, Tony Langston, Nick Montgomery",English,United States,6.9,None,None,series
tt1349084,Collision,2009,TV-PG,09 Nov 2009,201 min,"Crime, Drama, Mystery",N/A,Anthony Horowitz,"Douglas Henshall, Dean Lennox Kelly, Lucy Griffiths",English,United Kingdom,7.5,None,None,series
tt0251504,Dark Knight,2000–,PG-13,01 Jul 2000,N/A,Fantasy,N/A,N/A,"Charlotte Comer, Ben Pullen, Peter O'Farrell",N/A,United Kingdom,5.4,None,None,series
tt8713700,Darwin and Newts,2018–,N/A,18 May 2018,11 min,Animation,N/A,N/A,"Sarah Hart, Sara Stone, George Henare, Faith Gunn",English,New Zealand,N/A,None,None,series
