IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type,Duplicate,Duplicate1
tt1734135,Trollhunters,2016–2018,TV-Y7,23 Dec 2016,23 min,"Animation, Action, Adventure",N/A,Guillermo del Toro,"Charlie Saxton, Lexi Medrano, Anton Yelchin",English,"United States, Mexico",8.4,,,series,False,False
tt0106881,Fearless,1993,R,05 Nov 1993,122 min,"Drama, Thriller",Peter Weir,Rafael Yglesias,"Jeff Bridges, Isabella Rossellini, Rosie Perez",English,United States,7.1,85%,,movie,False,False
tt4034452,Hyena Road,2015,R,09 Oct 2015,120 min,"Action, Drama, War",Paul Gross,Paul Gross,"Rossif Sutherland, Allan Hawco, David Richmond-Peck",English,Canada,6.5,57%,44/100,movie,False,False
tt5580540,Santa Clarita Diet,2017–2019,TV-MA,03 Feb 2017,30 min,"Comedy, Horror",N/A,Victor Fresco,"Drew Barrymore, Timothy Olyphant, Liv Hewson",English,United States,7.8,,,series,False,False
tt4129870,White Girl,2016,Not Rated,01 Dec 2016,88 min,"Crime, Drama",Elizabeth Wood,Elizabeth Wood,"Morgan Saylor, Brian Marc, Justin Bartha",English,United States,5.7,71%,65/100,movie,False,False
tt5706996,Girlboss,2017,TV-MA,21 Apr 2017,26 min,Comedy,N/A,Kay Cannon,"Britt Robertson, Ellie Reed, Johnny Simmons",English,United States,7.0,,,series,False,False
tt1837492,13 Reasons Why,2017–2020,TV-MA,31 Mar 2017,60 min,"Drama, Mystery, Thriller",N/A,Brian Yorkey,"Dylan Minnette, Katherine Langford, Christian Navarro",English,United States,7.6,,,series,False,False
tt2582576,Sand Castle,2017,TV-MA,21 Apr 2017,113 min,"Action, Drama, War",Fernando Coimbra,Chris Roessner,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill","English, Arabic",United States,6.3,47%,45/100,movie,False,False
tt6959668,Salvador Martinha: Tip of the Tongue,2016,N/A,N/A,65 min,Comedy,Vasco Vilarinho,N/A,Salvador Martinha,Portuguese,Portugal,5.8,,,movie,False,False
tt5893332,Sandy Wexler,2017,TV-14,14 Apr 2017,130 min,Comedy,Steven Brill,"Dan Bulla, Paul Sado, Adam Sandler","Adam Sandler, Jennifer Hudson, Kevin James",English,United States,5.2,27%,40/100,movie,False,False
tt0126805,Back and Forth,1969,N/A,21 May 1969,52 min,Documentary,Michael Snow,N/A,"Allan Kaprow, Emmett Williams, Max Neuhaus, Joyce Wieland",English,Canada,6.4,,,movie,False,False
tt6289070,Happily Married,2016,N/A,01 Dec 2016,15 min,"Short, Thriller","Jake Bevill, Josh Rabalais(co-director)","Jake Bevill, Josh Rabalais, Josh Rabalais (story)","Patrick Kerstens, Conner Morgan, Katie Morgan, Madelyn Morneault",English,United States,N/A,,,movie,False,False
tt10207090,Pandora,2019–,TV-PG,16 Jul 2019,42 min,"Action, Drama, Sci-Fi",N/A,Mark A. Altman,"Priscilla Quintana, Oliver Dench, Ben Radcliffe",English,United States,4.2,,,series,False,False
tt1225901,90210,2008–2013,TV-14,02 Sep 2008,60 min,"Comedy, Drama, Romance",N/A,"Darren Star, Jeff Judah, Gabe Sachs","Shenae Grimes-Beech, Tristan Mack Wilds, AnnaLynne McCord",English,United States,6.1,,,series,False,False
tt0397442,Gossip Girl,2007–2012,TV-14,19 Sep 2007,42 min,"Drama, Romance",N/A,"Stephanie Savage, Josh Schwartz","Blake Lively, Leighton Meester, Penn Badgley",English,United States,7.4,,,series,False,False
tt1266020,Parks and Recreation,2009–2015,TV-14,09 Apr 2009,22 min,Comedy,N/A,"Greg Daniels, Michael Schur","Amy Poehler, Jim O'Heir, Nick Offerman",English,United States,8.6,,,series,False,False
tt1327801,Glee,2009–2015,TV-PG,19 May 2009,44 min,"Comedy, Drama, Music",N/A,"Ian Brennan, Brad Falchuk, Ryan Murphy","Lea Michele, Jane Lynch, Matthew Morrison",English,United States,6.7,,,series,False,False
tt0182576,Family Guy,1999–,TV-14,31 Jan 1999,22 min,"Animation, Comedy",N/A,"Seth MacFarlane, David Zuckerman","Seth MacFarlane, Alex Borstein, Seth Green","English, Portuguese",United States,8.1,,,series,False,False
tt0452046,Criminal Minds,2005–2020,TV-14,22 Sep 2005,42 min,"Crime, Drama, Mystery",N/A,Jeff Davis,"Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook",English,"United States, Canada",8.0,,,series,False,False
tt0108778,Friends,1994–2004,TV-PG,22 Sep 1994,22 min,"Comedy, Romance",N/A,"David Crane, Marta Kauffman","Jennifer Aniston, Courteney Cox, Lisa Kudrow","English, Spanish, Italian, French, Dutch, Hebrew",United States,8.9,,,series,False,False
tt1179817,The Secret Life of the American Teenager,2008–2013,TV-14,03 Sep 2008,43 min,"Comedy, Drama, Family",N/A,Brenda Hampton,"Shailene Woodley, Molly Ringwald, India Eisley",English,United States,5.0,,,series,False,False
tt0368530,One Tree Hill,2003–2012,TV-14,23 Sep 2003,60 min,"Drama, Romance, Sport",N/A,Mark Schwahn,"Chad Michael Murray, James Lafferty, Hilarie Burton",English,United States,7.7,,,series,False,False
tt1826940,New Girl,2011–2018,TV-14,20 Sep 2011,22 min,Comedy,N/A,Elizabeth Meriwether,"Zooey Deschanel, Jake Johnson, Max Greenfield",English,United States,7.7,,,series,False,False
tt1844624,American Horror Story,2011–,TV-MA,05 Oct 2011,60 min,"Drama, Horror, Thriller",N/A,"Brad Falchuk, Ryan Murphy","Lady Gaga, Kathy Bates, Angela Bassett",English,United States,8.0,,,series,False,False
tt2372162,Orange Is the New Black,2013–2019,TV-MA,11 Jul 2013,59 min,"Comedy, Crime, Drama",N/A,Jenji Kohan,"Taylor Schilling, Danielle Brooks, Taryn Manning",English,United States,8.0,,,series,False,False
tt2188671,Bates Motel,2013–2017,TV-MA,18 Mar 2013,45 min,"Drama, Horror, Mystery",N/A,"Anthony Cipriano, Carlton Cuse, Kerry Ehrin","Vera Farmiga, Freddie Highmore, Max Thieriot",English,United States,8.1,,,series,False,False
tt3609352,Grace and Frankie,2015–2021,TV-MA,08 May 2015,30 min,Comedy,N/A,"Marta Kauffman, Howard J. Morris","Jane Fonda, Lily Tomlin, Sam Waterston",English,United States,8.3,,,series,False,False
