IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type
tt1979388,The Good Dinosaur,2015,PG,25 Nov 2015,93 min,"Animation, Adventure, Comedy",Peter Sohn,"Bob Peterson, Peter Sohn, Erik Benson","Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla",English,United States,6.7,76%,66/100,movie
tt0091149,The Great Mouse Detective,1986,G,02 Jul 1986,74 min,"Animation, Adventure, Family","Ron Clements, Burny Mattinson, David Michener","Peter Young, Vance Gerry, Steve Hulett","Vincent Price, Barrie Ingham, Val Bettin","English, French, German, Italian",United States,7.2,80%,73/100,movie
tt0082474,The Great Muppet Caper,1981,G,26 Jun 1981,97 min,"Adventure, Comedy, Crime",Jim Henson,"Tom Patchett, Jay Tarses, Jerry Juhl","Jim Henson, Frank Oz, Dave Goelz",English,"United Kingdom, United States",7.2,74%,70/100,movie
tt0388980,The Greatest Game Ever Played,2005,PG,30 Sep 2005,120 min,"Biography, Drama, Sport",Bill Paxton,Mark Frost,"Shia LaBeouf, Stephen Dillane, Elias Koteas",English,"United States, Canada",7.4,63%,55/100,movie
tt0338094,The Haunted Mansion,2003,PG,26 Nov 2003,88 min,"Comedy, Family, Fantasy",Rob Minkoff,David Berenbaum,"Eddie Murphy, Marsha Thomason, Jennifer Tilly",English,United States,5.1,14%,34/100,movie
tt0031431,The Hockey Champ,1939,Approved,28 Apr 1939,7 min,"Animation, Short, Comedy",Jack King,"Carl Barks, Jack Hannah, Ted Osborne",Clarence Nash,English,United States,7.1,,,movie
tt0116583,The Hunchback of Notre Dame,1996,G,21 Jun 1996,91 min,"Animation, Drama, Family","Gary Trousdale, Kirk Wise","Tab Murphy, Victor Hugo, Irene Mecchi","Demi Moore, Jason Alexander, Mary Kay Bergman","English, Latin","United States, France",7.0,71%,74/100,movie
tt0257778,The Hunchback of Notre Dame 2: The Secret of the Bell,2002,G,19 Mar 2002,68 min,"Animation, Adventure, Comedy, Drama, Family, Musical, Romance",Bradley Raymond,"Jule Selbo (screenplay by), Flip Kobler (screenplay by), Cindy Marcus (screenplay by)","Jason Alexander, Jennifer Love Hewitt, Tom Hulce, Paul Kandel",English,"USA, Japan",4.7,30%,,movie
tt9331982,The Imagineering Story,2019,TV-G,12 Nov 2019,60 min,Documentary,N/A,N/A,"Tom Morris, Kevin Rafferty, Angela Bassett",English,United States,9.0,,,series
tt2136396,The Incredible Dr. Pol,2011–,TV-PG,29 Oct 2011,44 min,"Documentary, Reality-TV",N/A,"Monica Austin, Jonathan Schroder","Jan Pol, Ari Rubin, Diane Pol",English,United States,8.6,,,series
