imdb_id,platform_id
tt4295140,P01
tt4302938,P01
tt4307902,P01
tt4341582,P01
tt4384086,P01
tt4428122,P01
tt4431254,P01
tt4452688,P01
tt4458404,P01
tt4574334,P01
tt4591680,P01
tt4592410,P01
tt4635276,P01
tt4635282,P01
tt4648640,P01
tt4669186,P01
tt4677934,P01
tt4686862,P01
tt4763642,P01
tt4769836,P01
tt4786824,P01
tt4816058,P01
tt4938374,P01
tt4962796,P01
tt4971144,P01
tt4973548,P01
tt4991512,P01
tt5026458,P01
tt5030402,P01
tt5075942,P01
tt5089786,P01
tt5097050,P01
tt5127574,P01
tt5155780,P01
tt5193172,P01
tt5221584,P01
tt5235950,P01
tt5272052,P01
tt5339440,P01
tt5347148,P01
tt5435008,P01
tt5449296,P01
tt5462936,P01
tt5467814,P01
tt5505722,P01
tt5562056,P01
tt5580516,P01
tt5580540,P01
tt5580664,P01
tt5595688,P01
tt5651844,P01
tt5672036,P01
tt5697572,P01
tt5706996,P01
tt5759196,P01
tt5762174,P01
tt5846856,P01
tt5893332,P01
tt5916218,P01
tt5993744,P01
tt6025022,P01
tt6035850,P01
tt6038584,P01
tt6095472,P01
tt6101862,P01
tt6181728,P01
tt6243582,P01
tt6283780,P01
tt6289070,P01
tt6332994,P01
tt6333098,P01
tt6333104,P01
tt6495756,P01
tt6500946,P01
tt6591468,P01
tt6616074,P01
tt6736782,P01
tt6764142,P01
tt6780296,P01
tt6850902,P01
tt6925620,P01
tt6950338,P01
tt6953914,P01
tt6959614,P01
tt6959668,P01
tt6963504,P01
tt6963796,P01
tt6964236,P01
tt6964450,P01
tt7335104,P01
tt0028231,P03
tt0046534,P03
tt0046600,P03
tt0050749,P03
tt0051308,P03
tt0052490,P03
tt0054545,P03
tt0055667,P03
tt0056775,P03
tt0056937,P03
tt0059992,P03
tt0061240,P03
tt0065333,P03
tt0068126,P03
tt0069113,P03
tt0069596,P03
tt0069620,P03
tt0071030,P03
tt0071065,P03
tt0072472,P03
tt0072507,P03
tt0075503,P03
tt0075584,P03
tt0075590,P03
tt0078569,P03
tt0081871,P03
tt0082971,P03
tt0083482,P03
tt0086730,P03
tt0086737,P03
tt0086807,P03
tt0088242,P03
tt0090223,P03
tt0092312,P03
tt0092410,P03
tt0095305,P03
tt0096580,P03
tt0105151,P03
tt0105690,P03
tt0106097,P03
tt0106701,P03
tt0108734,P03
tt0108869,P03
tt0108903,P03
tt0108938,P03
tt0109376,P03
tt0111899,P03
tt0111958,P03
tt0112025,P03
tt0112093,P03
tt0112095,P03
tt0115082,P03
tt0115148,P03
tt0117589,P03
tt0118268,P03
tt0118401,P03
tt0118414,P03
tt0118513,P03
tt0118984,P03
tt0120053,P03
tt0121932,P03
tt0126865,P03
tt0127385,P03
tt0129117,P03
tt0137311,P03
tt0138956,P03
tt0160127,P03
tt0162462,P03
tt0163953,P03
tt0164292,P03
tt0166451,P03
tt0167456,P03
tt0169501,P03
tt0180254,P03
tt0182621,P03
tt0198079,P03
tt0200323,P03
tt0206951,P03
tt0208092,P03
tt0215446,P03
tt0240272,P03
tt0242209,P03
tt0247882,P03
tt0251504,P03
tt0255734,P03
tt0257076,P03
tt0261492,P03
tt0262150,P03
tt0264366,P03
tt0278504,P03
tt0283994,P03
tt0292414,P03
tt0313202,P03
tt0318236,P03
tt0335438,P03
tt0339397,P03
tt0340256,P03
tt0346231,P03
tt0364844,P03
